base_seg_id	corpus	lpair	prob_target	mean_diff	corr_weighted_diff	pca_diff
_DE_EN_005491-21	uds2	deen	0.4821159739641862	0.5750520472069157	0.6276001172635712	0.16704121229937685
_DE_EN_005491-23	uds2	deen	0.4068543835370416	0.423262683732935	0.3805187617418513	-0.036365842265667525
_DE_EN_005491-25	uds2	deen	0.4015693861996163	-0.027563671950306574	-0.24118762689559164	-1.6303321967094422
_DE_EN_005491-26	uds2	deen	0.35979540430727	0.41205519339254704	0.4233165278665152	0.8774438135022437
_DE_EN_005491-27	uds2	deen	0.5	-0.03030127565298966	0.4050188510667168	-2.5015609908617624
_DE_EN_005491-28	uds2	deen	0.459374195408424	-0.18020283367569243	-0.20303297510958365	-1.0860079420346405
_DE_EN_005491-29	uds2	deen	0.4730970052403822	0.6648561620907998	0.5506454763403189	0.5790700684368143
_DE_EN_005491-30	uds2	deen	0.7146030892133027	0.2717867351737869	0.31370026734042367	-0.05741833309964928
_DE_EN_016439-01	uds2	deen	0.8248847984500286	0.2892015483530349	0.4852339388121005	1.4143748832487413
_DE_EN_016439-02	uds2	deen	0.5644528091808665	0.540984490105204	0.6092256796886388	0.6308917838665199
_DE_EN_016439-03	uds2	deen	0.438618453345975	-0.3625979811887691	-0.5437882460238651	-3.1210648165206876
_DE_EN_016439-04	uds2	deen	0.4179016685745201	0.29771562598845297	0.20243229491603415	0.65724556139666
_DE_EN_016439-05	uds2	deen	0.627539489577494	0.08090672050050711	-0.46853075661998717	-2.920010721540711
_DE_EN_016439-06	uds2	deen	0.8122311356787951	0.3718022129801813	0.6182903784382281	-0.15209616846537144
_DE_EN_016439-07	uds2	deen	0.6433420700753405	1.114764850814183	1.356598005205754	2.4250318624410796
_DE_EN_016439-08	uds2	deen	0.566354787591086	1.03961354924868	1.1152174763798988	2.8142536912807965
_DE_EN_016439-09	uds2	deen	0.6708578448775758	0.30983090697241955	0.2707470298958076	-1.6582674655076928
_DE_EN_016439-10	uds2	deen	0.5906877085111145	0.3264122439687049	0.1763089278492769	-1.6286222064279543
_DE_EN_016439-11	uds2	deen	0.5974773234216966	-0.06348808910833667	-0.15669846867901605	-1.3781220695821395
_DE_EN_016439-12	uds2	deen	0.4661273221404983	0.5676963687895188	-0.3210119154545647	-2.5949487164262734
_DE_EN_016439-13	uds2	deen	0.5	0.5795094399103663	0.6473681463071882	1.1603685117806681
_DE_EN_016439-14	uds2	deen	0.6554566217223482	0.06844263250838116	0.0768607690814844	-0.8675278555075518
